death_prob,vax_effect,viral_age_effect,f_val
0.15745089129216075,0.8632723939569614,0.7914064629519982,0.12323
0.8980410811074329,0.631342656638072,0.8683924975637124,0.11091000000000001
0.7149710814643189,0.3447131483640645,0.19802506691949726,0.12819
0.6059201608779238,0.7779462078543771,0.6649770262702692,0.12065000000000001
0.23614402098913537,0.4049107568252267,0.47293578529352576,0.16462
0.4279972925430498,0.510087231355039,0.5962684895553619,0.13047
0.3932920614609718,0.5956067931854901,0.3035045542815695,0.16014999999999996
0.14066644077400609,0.5029875468489432,0.6789761893927921,0.14722
0.43181797639799474,0.6455908054844912,0.48003345842433165,0.13357
0.8167373926842216,0.4121784658072739,0.54300183321089,0.11408000000000001
0.8832456511622644,0.823200112623561,0.2857033946735792,0.11924000000000003
0.01560792402031665,0.7094644056412222,0.3405655290470705,0.07489
0.8062323046072634,0.8155432127262254,0.5003102533535716,0.11590000000000002
0.7523516749992512,0.12431732499283045,0.4038813404563315,0.12025999999999999
0.20913698347866616,0.8835252337247028,0.46725427236162487,0.15993999999999997
0.8458438475045839,0.6938458825773053,0.7998948136078226,0.11280000000000001
0.4383431462495643,0.4675416580341091,0.17282285563794597,0.15725999999999998
0.45812443575502315,0.33603417513601036,0.3547515647344477,0.1407
0.812751086550857,0.6951128778870507,0.769540645773601,0.11486
0.7992808682294572,0.6573983056789026,0.7572118884556296,0.11620000000000001
0.16364410579775623,0.7110868211145179,0.4565670659616804,0.17455999999999997
0.6672100243561075,0.10132226320095504,0.24886022956160317,0.12661999999999998
0.826834644725921,0.2775340205058097,0.6496203088688048,0.11378
0.11929275034052846,0.863483800399866,0.4356377919596567,0.17295
0.30755692373715254,0.6407393996082498,0.37624232896062515,0.16774999999999998
0.446671707578463,0.3193177294535082,0.5748565947935609,0.13039
0.09305270399274342,0.3913379231110876,0.3242132273184277,0.24349
0.18531190737020337,0.39975013237304413,0.6787247017606607,0.14836
0.6836294902954652,0.2744719746384001,0.7187213414244883,0.11775000000000001
0.7387510344642597,0.46510966794409114,0.6647895029705865,0.11459000000000003
0.7576458267793047,0.7866044566821303,0.46300341932053224,0.12264000000000003
0.4640859115772072,0.5762848180533913,0.7153198845178278,0.12447
