death_prob,vax_effect,viral_age_effect,f_val
0.4184108216234994,0.2832912038165205,0.8253595276166084,0.12234000000000002
0.620152608903664,0.5541720108686577,0.2679507659693293,0.12527000000000002
0.6307010195991355,0.38725444156413014,0.8950117260918546,0.11131
0.4005804126033656,0.3365958487445858,0.5070499389242744,0.13012
0.3403907455794463,0.5334169297921422,0.5568405531308945,0.09779
0.5720228369717866,0.405076160272691,0.8367537908524177,0.11332
0.29419896906522075,0.7054271714441088,0.5278746397965209,0.05338000000000001
0.47064980898665487,0.34420147620167374,0.16208969089411981,0.15129999999999996
0.18773851352077328,0.7027470354208635,0.4527943485502034,0.04275
0.020365668676311524,0.11793841522034489,0.42248430674999415,0.08818
0.582458225211207,0.5157216581574524,0.29224191503962255,0.12753
0.6292826674917217,0.26769007054714133,0.35455194137460433,0.13172
0.8640696377347286,0.5156116862771372,0.6968505108973474,0.11362000000000001
0.7572910046073056,0.6212653664904634,0.8370888371078615,0.09837
0.6253823566671286,0.32547636019327847,0.2927095317632187,0.13568
0.30096228057046004,0.7546468639820448,0.1840412376875116,0.04535
0.5337156475085771,0.8907101840196668,0.2642208840671301,0.01523
0.8110131412824925,0.5852799181819118,0.36786585767020397,0.11982000000000001
0.5946850577946391,0.11963155289194961,0.20066022555719745,0.13901
0.608281134498221,0.13455992245988233,0.7959691424454397,0.11928000000000001
0.0556896082298438,0.607898992798594,0.7756501929484271,0.02492
0.8770509301137566,0.6192368161500788,0.7502142199570525,0.10087
0.5680235493332884,0.4317259559453891,0.13064722502667056,0.14006
0.7663896749913733,0.3470623278737288,0.7651497175606686,0.11599
0.7092867928427425,0.7370480352889133,0.18050076620959568,0.07583999999999999
0.8889348150083096,0.24412112982745796,0.80619209550516,0.11248000000000001
0.5207089773110011,0.8291132278269443,0.3723915745752139,0.03461
0.04775062077871161,0.35651703990783035,0.5254393459198475,0.06798
0.043543741809760034,0.4232861339226861,0.8811709553979561,0.03691
