death_prob,vul_penalty,vax_effect,viral_age_effect,immune_adaptation_effect,infection_prob,vax_harm_score,deaths_vax,deaths_no_vax,steps_vax,steps_no_vax,auc_vax,auc_no_vax,delta_auc,non_vul_proportion_dead_delta,vulnerable_proportion_dead_delta,seeds,viral_age_delta,immunity_delta,total_unique_infected_delta,total_infections_delta,vul_infections_delta,non_vul_infections_delta,avg_reinfections_delta
0.3749925233794493,2,0.6821805945418601,0.8462943990782671,0.05,0.25,0.06244000000000001,0.061030000000000015,0.12347000000000001,31.59,68.075,0.6332000000000001,22.564745,-21.931544999999996,-0.06952557703524276,0.0018118814928598944,"(np.float64(1990994476.0), np.float64(1990994476.0))",-6.6575299999999995,-0.8995099999999999,-395.62,-728.105,-70.04,-658.065,-0.6928521861570502
0.29106163820347336,2,0.6361183586151478,0.4312949059884308,0.05,0.25,0.08567,0.07536,0.16102999999999998,34.965,75.03,0.77192,21.751005,-20.979085,-0.09769241364377786,0.025623121383364714,"(np.float64(1993045445.0), np.float64(1993045445.0))",-7.109189999999999,-0.8438300000000001,-382.2,-693.46,-65.38,-628.08,-0.6500268580919362
0.3223288880602382,2,0.6916033873523364,0.34357064882920496,0.05,0.25,0.09606999999999999,0.06539,0.16145999999999996,20.245,72.265,0.497305,16.27378,-15.776475,-0.10910829978666803,0.022065550107971656,"(np.float64(761312374.0), np.float64(761312374.0))",-6.4376999999999995,-0.5985499999999999,-346.45,-553.235,-53.74,-499.495,-0.47795307291928546
0.5865345136287211,2,0.5399711534478273,0.20146705471668053,0.05,0.25,0.013009999999999999,0.12254000000000001,0.13555,20.505,30.87,0.36713999999999997,2.30687,-1.9397300000000002,-0.01924612443492677,0.044205981155000504,"(np.float64(3301670722.0), np.float64(3301670722.0))",-1.38309,-0.056159999999999995,-59.515,-79.455,-5.9,-73.555,-0.06923907916435187
0.16849468737249695,2,0.6056765025203084,0.16231298330980526,0.05,0.25,0.25694,0.07418,0.33112,31.88,104.84,0.9122149999999999,20.578285,-19.66607,-0.27038716346453767,-0.13528034781302695,"(np.float64(3494214992.0), np.float64(3494214992.0))",-7.96643,-0.77196,-376.395,-658.21,-60.35,-597.86,-0.5861145517667967
0.6034777183427937,2,0.6461978023075464,0.717589774994836,0.05,0.25,0.028130000000000002,0.09197000000000001,0.1201,33.62,63.355,0.577505,15.432775,-14.85527,-0.034797664022319104,0.03197825649873665,"(np.float64(3446561885.0), np.float64(3446561885.0))",-5.8245499999999995,-0.55316,-334.6,-521.02,-50.375,-470.645,-0.4321180426442636
0.046485546167884306,2,0.8878181757392652,0.4658942254342552,0.05,0.25,0.10822000000000002,0.0019500000000000001,0.11017000000000003,7.81,82.66,0.10993000000000003,33.566565,-33.456635,-0.11943270547443025,-0.005316974530397134,"(np.float64(3968274883.0), np.float64(3968274883.0))",-7.37803,-1.6405,-438.03,-1080.825,-84.095,-996.73,-1.310001084543531
0.014011279066507221,2,0.775887076191331,0.6674004037387361,0.05,0.25,0.032940000000000004,0.00256,0.0355,21.325,75.675,0.534525,38.622825000000006,-38.0883,-0.036102808590240044,-0.004554183282077089,"(np.float64(2745286093.0), np.float64(2745286093.0))",-7.456289999999999,-1.8426300000000004,-433.565,-1203.385,-119.64,-1083.745,-1.538728467394468
0.2313072678595236,2,0.6643585576158311,0.31919639902675745,0.05,0.25,0.1361,0.06594,0.20204,31.675,81.81,0.7746299999999999,22.854335000000003,-22.079705000000004,-0.14971466691334345,-0.01713791484533958,"(np.float64(2283302114.0), np.float64(2283302114.0))",-7.475419999999999,-0.9136,-392.415,-732.34,-68.72,-663.62,-0.7071158916267826
0.519550908752769,2,0.49530604713623816,0.5256307674929993,0.05,0.25,0.009040000000000001,0.11638,0.12542,57.24,60.755,1.7816649999999998,14.597214999999998,-12.81555,-0.013141256483917554,0.027891764216082544,"(np.float64(281238382.0), np.float64(281238382.0))",-4.79213,-0.41456,-274.48,-427.83,-35.495,-392.335,-0.3247273450168954
0.8749689772456823,2,0.10322852339384775,0.8863171083396582,0.05,0.25,-0.0027,0.11388000000000002,0.11118000000000001,64.175,64.305,14.440930000000002,16.939835000000002,-2.498905,0.001860698755736392,0.0096171033407761,"(np.float64(1851997486.0), np.float64(1851997486.0))",-0.39214999999999994,-0.002119999999999993,-24.305,-38.265,-0.555,-37.71,-0.011328368218347063
