death_prob,vul_penalty,vax_effect,viral_age_effect,immune_adaptation_effect,infection_prob,vax_harm_score,deaths_vax,deaths_no_vax,steps_vax,steps_no_vax,auc_vax,auc_no_vax,delta_auc,non_vul_proportion_dead_delta,vulnerable_proportion_dead_delta,seeds,viral_age_delta,immunity_delta,total_unique_infected_delta,total_infections_delta,vul_infections_delta,non_vul_infections_delta,avg_reinfections_delta,actual_diff
0.8749689772456823,2,0.10322852339384775,0.8863171083396582,0.05,0.25,-0.0027,0.11388000000000002,0.11118000000000001,64.175,64.305,14.440930000000002,16.939835000000002,-2.498905,0.001860698755736392,0.0096171033407761,"(np.float64(1851997486.0), np.float64(1851997486.0))",-0.39214999999999994,-0.002119999999999993,-24.305,-38.265,-0.555,-37.71,-0.011328368218347063,0.0027
0.8990774059174242,2,0.11286379476733945,0.12772488049185995,0.05,0.25,-0.00384,0.11959000000000002,0.11575000000000003,5.68,3.73,0.13504000000000002,0.04065999999999999,0.09437999999999999,0.002409880494049452,0.01718767172272585,"(np.float64(433200466.0), np.float64(433200466.0))",0.06809,0.0027700000000000003,4.25,4.84,1.1,3.74,0.0018428819777978633,0.00384
0.8958625607035948,2,0.10404445345568734,0.11109190255221667,0.05,0.25,-0.00315,0.12060000000000003,0.11745000000000001,3.965,3.03,0.034535,0.022355,0.01218,0.0027473548390723967,0.007658683140420778,"(np.float64(3444535325.0), np.float64(3444535325.0))",0.00341,0.0,1.575,1.575,0.16,1.415,0.0,0.00315
0.8333676169968756,2,0.11080179951074412,0.1159433783896068,0.05,0.25,-0.00316,0.12063,0.11747000000000002,4.565,3.575,0.04594500000000001,0.03054,0.015405000000000002,0.0019929009211603903,0.0125279193073745,"(np.float64(3161123599.0), np.float64(3161123599.0))",0.0035900000000000003,0.0,1.58,1.58,0.62,0.96,0.0,0.00316
0.8822733482021747,2,0.10779854213989336,0.10028736484552825,0.05,0.25,-0.0023799999999999997,0.12035,0.11797000000000002,3.9,2.965,0.037880000000000004,0.023150000000000004,0.01473,0.0011703538960596055,0.013291058070333695,"(np.float64(4143240718.0), np.float64(4143240718.0))",0.004320000000000001,0.0,1.19,1.19,0.605,0.585,0.0,0.0023799999999999997
0.858776989611817,2,0.12231313081351108,0.8824384405923948,0.05,0.25,-0.0010600000000000004,0.11383000000000001,0.11277000000000001,64.74,63.545,14.181239999999997,16.86028,-2.67904,0.0008921216136960389,0.004078736277305927,"(np.float64(1973228360.0), np.float64(1973228360.0))",-0.35011,-0.014790000000000001,-23.565,-44.015,-1.705,-42.31,-0.019785420711372778,0.0010600000000000004
0.8971394004746404,2,0.12012298249724661,0.10337084540466153,0.05,0.25,-0.00288,0.11937000000000002,0.11649000000000001,3.915,2.93,0.035515000000000005,0.021405000000000004,0.014110000000000001,0.0014690571999178025,0.015005857801505455,"(np.float64(2793731483.0), np.float64(2793731483.0))",0.00271,0.0,1.44,1.44,0.74,0.7,0.0,0.00288
0.8966738118898974,2,0.11147253497664576,0.8944313099736936,0.05,0.25,-0.002980000000000001,0.11349000000000001,0.11051000000000002,64.355,64.52,13.683250000000001,16.84949,-3.1662400000000006,0.0014123904780601517,0.017438127611703175,"(np.float64(1314905149.0), np.float64(1314905149.0))",-0.48471,-0.043359999999999996,-24.74,-58.02,-0.845,-57.175,-0.04506506538175831,0.002980000000000001
0.8781721945822966,2,0.10595143359864245,0.8969751580041433,0.05,0.25,-0.0031899999999999997,0.11105000000000001,0.10786000000000001,65.835,64.62,14.898535000000003,17.89413,-2.995595,0.001994605182666318,0.014509491252321167,"(np.float64(1766170773.0), np.float64(1766170773.0))",-0.29434999999999995,-0.034600000000000006,-13.695,-45.86,-2.085,-43.775,-0.038144908921414124,0.0031899999999999997
0.8999339478669078,2,0.10158332821061791,0.10229847890050872,0.05,0.25,-0.0020300000000000006,0.11797,0.11594000000000002,3.575,2.96,0.032525000000000005,0.021300000000000003,0.011225000000000002,0.0016723485336922128,0.0052411598595895085,"(np.float64(4110022777.0), np.float64(4110022777.0))",0.00206,0.0,1.015,1.015,0.21,0.805,0.0,0.0020300000000000006
