death_prob,vul_penalty,vax_effect,viral_age_effect,immune_adaptation_effect,infection_prob,vax_harm_score,deaths_vax,deaths_no_vax,steps_vax,steps_no_vax,auc_vax,auc_no_vax,delta_auc,non_vul_proportion_dead_delta,viral_age_delta,immunity_delta
0.3749925233794493,2,0.6821805945418601,0.8462943990782671,0.05,0.25,0.06501000000000001,0.05129,0.11630000000000001,17.695,71.275,0.47292,20.654615,-20.181695,-0.07236841625799023,-6.711659999999999,-1.11495
0.29106163820347336,2,0.6361183586151478,0.4312949059884308,0.05,0.25,0.09634000000000001,0.06109000000000002,0.15743,23.195,77.665,0.6317200000000001,18.86863,-18.236909999999998,-0.10767258603014623,-6.94289,-1.0338800000000001
0.3223288880602382,2,0.6916033873523364,0.34357064882920496,0.05,0.25,0.10251000000000002,0.05226000000000001,0.15477,17.54,74.0,0.480375,13.961545,-13.481169999999999,-0.11431150279567533,-6.100880000000001,-0.6840600000000001
0.5865345136287211,2,0.5399711534478273,0.20146705471668053,0.05,0.25,0.02093,0.11554,0.13646999999999998,19.44,29.79,0.38867999999999997,1.56865,-1.1799700000000002,-0.02486708403787757,-0.9971199999999999,-0.058059999999999994
0.16849468737249695,2,0.6056765025203084,0.16231298330980526,0.05,0.25,0.23929999999999998,0.054650000000000004,0.29394999999999993,24.535,107.195,0.7679,16.509095000000002,-15.741195,-0.2637661070506617,-7.6600600000000005,-0.86658
0.6034777183427937,2,0.6461978023075464,0.717589774994836,0.05,0.25,0.033870000000000004,0.08186,0.11573000000000003,20.005,65.045,0.448955,12.922240000000002,-12.473285,-0.03815217777720786,-5.45678,-0.6703
0.046485546167884306,2,0.8878181757392652,0.4658942254342552,0.05,0.25,0.10948000000000001,0.0010500000000000002,0.11053,6.27,86.01,0.10722000000000001,33.894025,-33.786804999999994,-0.12153520746354336,-7.3197,-1.76055
0.014011279066507221,2,0.775887076191331,0.6674004037387361,0.05,0.25,0.032560000000000006,0.00119,0.03375,12.585,77.695,0.36938000000000004,36.269275,-35.899894999999994,-0.03618795916698569,-7.24592,-2.04245
0.2313072678595236,2,0.6643585576158311,0.31919639902675745,0.05,0.25,0.1382,0.05184000000000001,0.19004,22.86,84.94,0.655505,19.478625,-18.823120000000003,-0.15377536917681658,-7.325139999999999,-1.05334
0.519550908752769,2,0.49530604713623816,0.5256307674929993,0.05,0.25,0.01314,0.10990000000000003,0.12304,40.06,62.43,0.76179,11.72729,-10.965499999999999,-0.015869796064631715,-5.052479999999999,-0.6132899999999999
0.8749689772456823,2,0.10322852339384775,0.8863171083396582,0.05,0.25,-6.999999999999979e-05,0.11194000000000003,0.11187000000000001,63.77,63.1,9.75323,12.63012,-2.8768899999999995,0.0008096129295950419,-0.6346799999999999,-0.10252
0.8990774059174242,2,0.11286379476733945,0.12772488049185995,0.05,0.25,0.0007400000000000001,0.12549,0.12623,7.22,6.65,0.131695,0.10681000000000002,0.024885000000000015,-0.0005895541488970119,0.01774999999999999,0.0011899999999999999
0.017234904005896775,2,0.12762867380690343,0.8840275887225849,0.05,0.25,0.007370000000000001,0.024030000000000006,0.031400000000000004,70.425,74.425,27.822924999999994,35.62972,-7.806795000000002,-0.008238650357998865,-0.15310999999999997,-0.34987
0.8958625607035948,2,0.10404445345568734,0.11109190255221667,0.05,0.25,-0.0036000000000000003,0.12841000000000002,0.12481000000000002,6.7,5.875,0.09187999999999999,0.07522500000000001,0.016655,0.0035931567849604783,0.00289,8.999999999999998e-05
0.8952102697048234,2,0.8275405790163572,0.8881531215246231,0.05,0.25,0.06512000000000001,0.040190000000000003,0.10531000000000003,8.96,63.91,0.19006500000000004,12.150245,-11.960180000000001,-0.07219409947717231,-5.078550000000001,-0.5318200000000001
0.02125239226130031,2,0.10528633131892083,0.10888021015186303,0.05,0.25,0.07235,0.21420999999999998,0.28656,130.12,138.04,35.579755000000006,40.837525,-5.257769999999999,-0.0795547663979902,0.5723699999999999,-0.10007000000000002
0.89981206478851,2,0.8665368249749361,0.11903106447788449,0.05,0.25,0.08067,0.030730000000000004,0.1114,7.97,5.6,0.16507000000000002,0.07143000000000001,0.09364,-0.09008499967082258,-0.018750000000000003,0.06646
0.8986786220496541,2,0.12332818379292823,0.8918137416908026,0.05,0.25,0.0008099999999999996,0.11232000000000002,0.11313000000000002,64.27,64.28,9.61107,13.52886,-3.9177900000000005,-0.0005778874476322156,-0.95938,-0.18997
0.02926702132901518,2,0.12786196467529037,0.8892996558132433,0.05,0.25,0.00983,0.03798,0.047810000000000005,72.1,76.125,27.583805,35.51184,-7.9280349999999995,-0.011000263114949872,-0.10360999999999997,-0.31627999999999995
0.8584707770591062,2,0.8727741702232518,0.8894954530017731,0.05,0.25,0.08785,0.017879999999999997,0.10573,6.305,66.09,0.10147500000000001,13.495595000000002,-13.394119999999997,-0.09746498882706887,-5.3923000000000005,-0.559
0.01932867364293093,2,0.8919006890207383,0.11208688799880938,0.05,0.25,0.25032000000000004,0.00045,0.25077,6.67,138.46,0.11425,41.733430000000006,-41.61918000000001,-0.2776159893218765,-9.94407,-2.31534
0.017914635098312686,2,0.11160976281452593,0.8964419573936379,0.05,0.25,0.0062,0.0254,0.0316,70.625,75.2,28.447524999999995,36.29675,-7.8492250000000015,-0.006799371694322736,-0.14519999999999997,-0.35001999999999994
0.8333676169968756,2,0.11080179951074412,0.1159433783896068,0.05,0.25,0.00255,0.12564,0.12819,7.75,6.975,0.14492,0.11366000000000001,0.03126000000000001,-0.002863029357654271,0.02239000000000001,0.0017499999999999998
